model_source,condition,sub_cond,item,test_name,test_definition,LLH_left,LLH_right,logOdds,test_passed
gpt2,events,events_narr_explicit,1,test_1,1|2>1|1,-5.687028408050537,-5.719118595123291,0.032090187072753906,True
gpt2,events,events_narr_explicit,1,test_2,2|1>2|2,-4.053506374359131,-3.8627593517303467,-0.19074702262878418,False
gpt2,events,events_narr_explicit,2,test_2,2|1>2|2,-3.7780165672302246,-3.3905835151672363,-0.3874330520629883,False
gpt2,events,events_narr_explicit,3,test_1,1|2>1|1,-2.8505516052246094,-2.8197436332702637,-0.030807971954345703,False
gpt2,events,events_narr_explicit,3,test_2,2|1>2|2,-3.0042855739593506,-2.9440715312957764,-0.06021404266357422,False
gpt2,events,events_narr_explicit,4,test_1,1|2>1|1,-2.457681179046631,-2.5080626010894775,0.05038142204284668,True
gpt2,events,events_narr_explicit,4,test_2,2|1>2|2,-2.6770260334014893,-2.621354341506958,-0.05567169189453125,False
gpt2,events,events_narr_explicit,7,test_1,1|2>1|1,-2.934115171432495,-2.858248710632324,-0.0758664608001709,False
gpt2,events,events_narr_explicit,7,test_2,2|1>2|2,-2.6708121299743652,-2.5592448711395264,-0.11156725883483887,False
gpt2,events,events_narr_explicit,19,test_1,1|2>1|1,-3.3000941276550293,-3.2237448692321777,-0.07634925842285156,False
gpt2,events,events_narr_explicit,19,test_2,2|1>2|2,-3.1252145767211914,-2.9847841262817383,-0.14043045043945312,False
gpt2,events,events_narr_explicit,20,test_1,1|2>1|1,-4.260821342468262,-4.0977678298950195,-0.1630535125732422,False
gpt2,events,events_narr_explicit,20,test_2,2|1>2|2,-4.214337348937988,-4.035430431365967,-0.17890691757202148,False
gpt2,events,events_narr_explicit,27,test_1,1|2>1|1,-3.604534864425659,-3.473848581314087,-0.13068628311157227,False
gpt2,events,events_narr_explicit,27,test_2,2|1>2|2,-3.556591749191284,-3.525631904602051,-0.0309598445892334,False
gpt2,events,events_narr_explicit,35,test_1,1|2>1|1,-3.6193182468414307,-3.488771677017212,-0.13054656982421875,False
gpt2,events,events_narr_explicit,35,test_2,2|1>2|2,-3.2792272567749023,-3.3722763061523438,0.0930490493774414,True
gpt2,events,events_narr_explicit,39,test_1,1|2>1|1,-3.881741762161255,-3.781452178955078,-0.10028958320617676,False
gpt2,events,events_narr_explicit,39,test_2,2|1>2|2,-3.739438533782959,-3.698066473007202,-0.041372060775756836,False
gpt2,events,events_narr_explicit,46,test_1,1|2>1|1,-3.039614200592041,-2.749080181121826,-0.29053401947021484,False
gpt2,events,events_narr_explicit,46,test_2,2|1>2|2,-3.023555278778076,-2.8898510932922363,-0.13370418548583984,False
gpt2,events,events_narr_explicit,1,test_1,1|1>1|2,-4.532169818878174,-4.4325432777404785,-0.09962654113769531,False
