model_source,condition,sub_cond,item,test_name,test_definition,LLH_left,LLH_right,logOdds,test_passed
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,1,test_1,1|2>1|1,-3.828125,-3.75,-0.078125,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,1,test_2,2|1>2|2,-1.2109375,-1.078125,-0.1328125,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,2,test_2,2|1>2|2,-1.0078125,-1.015625,0.0078125,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,3,test_1,1|2>1|1,-1.28125,-1.125,-0.15625,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,3,test_2,2|1>2|2,-1.03125,-0.97265625,-0.05859375,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,4,test_1,1|2>1|1,-0.99609375,-0.984375,-0.01171875,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,4,test_2,2|1>2|2,-0.984375,-1.03125,0.046875,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,7,test_1,1|2>1|1,-1.265625,-1.1875,-0.078125,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,7,test_2,2|1>2|2,-0.94921875,-1.0859375,0.13671875,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,19,test_1,1|2>1|1,-1.0625,-0.91015625,-0.15234375,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,19,test_2,2|1>2|2,-1.046875,-0.859375,-0.1875,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,20,test_1,1|2>1|1,-1.1640625,-1.0625,-0.1015625,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,20,test_2,2|1>2|2,-1.171875,-1.1171875,-0.0546875,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,27,test_1,1|2>1|1,-1.0625,-1.03125,-0.03125,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,27,test_2,2|1>2|2,-1.0703125,-1.140625,0.0703125,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,35,test_1,1|2>1|1,-1.0390625,-1.109375,0.0703125,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,35,test_2,2|1>2|2,-1.234375,-1.078125,-0.15625,False
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,39,test_1,1|2>1|1,-0.98046875,-1.078125,0.09765625,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,39,test_2,2|1>2|2,-0.9765625,-1.09375,0.1171875,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,46,test_1,1|2>1|1,-0.9453125,-0.9765625,0.03125,True
Qwen/Qwen2.5-3B-Instruct,events,events_narr_explicit,46,test_2,2|1>2|2,-0.9375,-1.0859375,0.1484375,True
