model_source,condition,item,test_name,test_definition,LLH_left,LLH_right,logOdds,test_passed
EleutherAI/pythia-410m-deduped,stripping_VPE,1,test_1,1|2>1|1,-2.1651785373687744,-2.925262689590454,0.7600841522216797,True
EleutherAI/pythia-410m-deduped,stripping_VPE,1,test_2,2|1>2|2,-3.745938777923584,-3.1943442821502686,-0.5515944957733154,False
EleutherAI/pythia-410m-deduped,stripping_VPE,2,test_1,1|2>1|1,-2.789426803588867,-2.521152973175049,-0.26827383041381836,False
EleutherAI/pythia-410m-deduped,stripping_VPE,2,test_2,2|1>2|2,-2.5011088848114014,-2.9953839778900146,0.4942750930786133,True
EleutherAI/pythia-410m-deduped,joins,1,test_1,1|1>1|2,-3.4566378593444824,-2.8717172145843506,-0.5849206447601318,False
EleutherAI/pythia-410m-deduped,joins,1,test_2,1|2>1|3,-2.8717172145843506,-3.4048757553100586,0.533158540725708,True
EleutherAI/pythia-410m-deduped,joins,1,test_3,1|1>1|3,-3.4566378593444824,-3.4048757553100586,-0.05176210403442383,False
EleutherAI/pythia-410m-deduped,events,1,test_1,1|1>1|2,-2.1824095249176025,-2.0421807765960693,-0.1402287483215332,False
EleutherAI/pythia-410m-deduped,events,1,test_2,2|2>2|1,-3.1234042644500732,-2.890214204788208,-0.23319005966186523,False
EleutherAI/pythia-410m-deduped,sluicing,1,test_1,2|1>2|2 ,-2.233196496963501,-1.5988346338272095,-0.6343618631362915,False
EleutherAI/pythia-410m-deduped,sluicing,1,test_2,1|2>1|1,-2.881584882736206,-3.751023054122925,0.8694381713867188,True
EleutherAI/pythia-410m-deduped,sluicing,1,test_3,3|2>3|1,-4.213325023651123,-3.2171456813812256,-0.9961793422698975,False
EleutherAI/pythia-410m-deduped,sluicing,1,test_4,4|2>4|1        ,-2.426908254623413,-1.6902587413787842,-0.7366495132446289,False
EleutherAI/pythia-410m-deduped,propositional_clefting,1,test_1,1|2>1|1 ,-1.9210864305496216,-1.9415011405944824,0.02041471004486084,True
EleutherAI/pythia-410m-deduped,propositional_clefting,1,test_2,2|1>2|2,-4.22529411315918,-4.143444061279297,-0.08185005187988281,False
EleutherAI/pythia-410m-deduped,definites,1,test_1,1|3>1|2 ,-4.957836151123047,-4.9630961418151855,0.005259990692138672,True
EleutherAI/pythia-410m-deduped,definites,1,test_2,1|2>1|1 ,-4.9630961418151855,-4.809988498687744,-0.1531076431274414,False
EleutherAI/pythia-410m-deduped,definites,1,test_3,2|1>2|2 ,-5.906836032867432,-5.839080810546875,-0.06775522232055664,False
EleutherAI/pythia-410m-deduped,definites,1,test_4,2|2>2|3 ,-5.839080810546875,-5.83543062210083,-0.003650188446044922,False
