condition,sub_cond,source,item,n_input,n_continuations,n_tests,input_1,input_2,input_3,input_4,context_prompt,continuation_1,continuation_2,continuation_3,continuation_4,test_1,test_2,test_3,test_4
events,events_narr_explicit,Claude Sonnet 4.5,1,2,2,2,"Marcus finished the presentation, and then he submitted the report. Elena saw him do it.","Marcus submitted the report, and then he finished the presentation. Elena saw him do it.",N/A,N/A,,Thomas didn't see Sarah clean the kitchen.,Elena didn't see Marcus submit the report.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,2,2,2,2,"Sarah cleaned the kitchen, after which she vacuumed the living room. Thomas saw her do it.","Sarah vacuumed the living room, after which she cleaned the kitchen. Thomas saw her do it.",N/A,N/A,,,Thomas didn't see Sarah vacuum the living room.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,3,2,2,2,"After James locked the door, he set the alarm. Rachel saw him do it.","After James set the alarm, he locked the door. Rachel saw him do it.",N/A,N/A,,Rachel didn't see James lock the door.,Rachel didn't see James set the alarm.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,4,2,2,2,"The vase fell from the shelf, and then it shattered on the floor. Patricia witnessed it happen.","The vase shattered on the floor, and then it fell from the shelf. Patricia witnessed it happen.",N/A,N/A,,Patricia didn't witness the vase fall from the shelf.,Patricia didn't witness the vase shatter on the floor.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,7,2,2,2,"After Sophie opened the window, she turned on the fan. Daniel saw her do it.","After Sophie turned on the fan, she opened the window. Daniel saw her do it.",N/A,N/A,,Daniel didn't see Sophie open the window.,Daniel didn't see Sophie turn on the fan.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,19,2,2,2,"After Chloe watered the plants, she trimmed the leaves. Jacob saw her do it.","After Chloe trimmed the leaves, she watered the plants. Jacob saw her do it.",N/A,N/A,,Jacob didn't see Chloe water the plants.,Jacob didn't see Chloe trim the leaves.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,20,2,2,2,"Austin organized the files, after which he scanned the documents. Natalie saw him do it.","Austin scanned the documents, after which he organized the files. Natalie saw him do it.",N/A,N/A,,Natalie didn't see Austin organize the files.,Natalie didn't see Austin scan the documents.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,27,2,2,2,"Lucas adjusted the settings, and then he tested the equipment. Sophia saw him do it.","Lucas tested the equipment, and then he adjusted the settings. Sophia saw him do it.",N/A,N/A,,Sophia didn't see Lucas adjust the settings.,Sophia didn't see Lucas test the equipment.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,35,2,2,2,"Maverick checked the time, and then he left the office. Sienna saw him do it.","Maverick left the office, and then he checked the time. Sienna saw him do it.",N/A,N/A,,Sienna didn't see Maverick check the time.,Sienna didn't see Maverick leave the office.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,39,2,2,2,"Blair connected the cables, and then she powered on the monitor. Reese saw her do it.","Blair powered on the monitor, and then she connected the cables. Reese saw her do it.",N/A,N/A,,Reese didn't see Blair connect the cables.,Reese didn't see Blair power on the monitor.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
