condition,sub_cond,source,item,n_input,n_continuations,n_tests,input_1,input_2,input_3,input_4,context_prompt,continuation_1,continuation_2,continuation_3,continuation_4,test_1,test_2,test_3,test_4
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,1,2,2,2,"Marcus will ask Elena whether David accepted the position, but Elena doesn't know that.","Marcus will ask Elena whether David accepted the position, but that's something Elena doesn't know.",N/A,N/A,,Elena doesn't know about Marcus asking a question.,Elena doesn't know about David accepting the position.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,2,2,2,2,"Sarah will ask Thomas what Julia ordered for lunch, but Thomas doesn't know that.","Sarah will ask Thomas what Julia ordered for lunch, but that's something Thomas doesn't know.",N/A,N/A,,Thomas doesn't know about Sarah asking a question.,Thomas doesn't know what Julia ordered for lunch.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,3,2,2,2,"James will ask Rachel whether Emma passed the exam, but Rachel doesn't know that.","James will ask Rachel whether Emma passed the exam, but that's something Rachel doesn't know.",N/A,N/A,,Rachel doesn't know about James asking a question.,Rachel doesn't know whether Emma passed the exam.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,4,2,2,2,"Dr. Chen will ask Patricia what Michael recommended, but Patricia doesn't know that.","Dr. Chen will ask Patricia what Michael recommended, but that's something Patricia doesn't know.",N/A,N/A,,Patricia doesn't know about Dr. Chen asking a question.,Patricia doesn't know what Michael recommended.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,5,2,2,2,"Maya will ask Kevin whether Lisa attended the meeting, but Kevin doesn't know that.","Maya will ask Kevin whether Lisa attended the meeting, but that's something Kevin doesn't know.",N/A,N/A,,Kevin doesn't know about Maya asking a question.,Kevin doesn't know whether Lisa attended the meeting.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,6,2,2,2,"Robert will ask Amanda what Carlos decided, but Amanda doesn't know that.","Robert will ask Amanda what Carlos decided, but that's something Amanda doesn't know.",N/A,N/A,,Amanda doesn't know about Robert asking a question.,Amanda doesn't know what Carlos decided.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,7,2,2,2,"Sophie will ask Daniel whether Nina received the award, but Daniel doesn't know that.","Sophie will ask Daniel whether Nina received the award, but that's something Daniel doesn't know.",N/A,N/A,,Daniel doesn't know about Sophie asking a question.,Daniel doesn't know whether Nina received the award.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,8,2,2,2,"Victor will ask Jennifer what Alex proposed, but Jennifer doesn't know that.","Victor will ask Jennifer what Alex proposed, but that's something Jennifer doesn't know.",N/A,N/A,,Jennifer doesn't know about Victor asking a question.,Jennifer doesn't know what Alex proposed.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,9,2,2,2,"Professor Lee will ask Olivia whether Ryan submitted the paper, but Olivia doesn't know that.","Professor Lee will ask Olivia whether Ryan submitted the paper, but that's something Olivia doesn't know.",N/A,N/A,,Olivia doesn't know about Professor Lee asking a question.,Olivia doesn't know whether Ryan submitted the paper.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,10,2,2,2,"Hannah will ask Christopher what Mark said, but Christopher doesn't know that.","Hannah will ask Christopher what Mark said, but that's something Christopher doesn't know.",N/A,N/A,,Christopher doesn't know about Hannah asking a question.,Christopher doesn't know what Mark said.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,11,2,2,2,"Benjamin will ask Emma whether Tyler agreed to help, but Emma doesn't know that.","Benjamin will ask Emma whether Tyler agreed to help, but that's something Emma doesn't know.",N/A,N/A,,Emma doesn't know about Benjamin asking a question.,Emma doesn't know whether Tyler agreed to help.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,12,2,2,2,"Grace will ask Andrew what Claire brought, but Andrew doesn't know that.","Grace will ask Andrew what Claire brought, but that's something Andrew doesn't know.",N/A,N/A,,Andrew doesn't know about Grace asking a question.,Andrew doesn't know what Claire brought.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,13,2,2,2,"Isabella will ask Jonathan whether Sarah completed the task, but Jonathan doesn't know that.","Isabella will ask Jonathan whether Sarah completed the task, but that's something Jonathan doesn't know.",N/A,N/A,,Jonathan doesn't know about Isabella asking a question.,Jonathan doesn't know whether Sarah completed the task.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,14,2,2,2,"Nathan will ask Victoria what Lucas suggested, but Victoria doesn't know that.","Nathan will ask Victoria what Lucas suggested, but that's something Victoria doesn't know.",N/A,N/A,,Victoria doesn't know about Nathan asking a question.,Victoria doesn't know what Lucas suggested.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
propositional_clefting,prop-cleft_fut_simple,Claude Sonnet 4.5,15,2,2,2,"Samantha will ask Brandon whether Megan called back, but Brandon doesn't know that.","Samantha will ask Brandon whether Megan called back, but that's something Brandon doesn't know.",N/A,N/A,,Brandon doesn't know about Samantha asking a question.,Brandon doesn't know whether Megan called back.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
