model_source,condition,sub_cond,item,test_name,test_definition,LLH_left,LLH_right,logOdds,test_passed
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,1,test_1,1|2>1|1,-3.78125,-3.890625,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,1,test_2,2|1>2|2,-2.390625,-2.1875,-0.203125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,2,test_2,2|1>2|2,-1.5625,-1.6640625,0.1015625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,3,test_1,1|2>1|1,-1.359375,-1.5,0.140625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,3,test_2,2|1>2|2,-1.53125,-1.3984375,-0.1328125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,4,test_1,1|2>1|1,-1.5078125,-1.5859375,0.078125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,4,test_2,2|1>2|2,-1.5390625,-1.7421875,0.203125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,7,test_1,1|2>1|1,-1.6484375,-1.84375,0.1953125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,7,test_2,2|1>2|2,-1.7109375,-1.5625,-0.1484375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,19,test_1,1|2>1|1,-1.703125,-1.59375,-0.109375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,19,test_2,2|1>2|2,-1.96875,-1.7578125,-0.2109375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,20,test_1,1|2>1|1,-1.9375,-1.828125,-0.109375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,20,test_2,2|1>2|2,-1.6875,-1.796875,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,27,test_1,1|2>1|1,-1.4609375,-1.3359375,-0.125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,27,test_2,2|1>2|2,-1.4375,-1.5078125,0.0703125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,35,test_1,1|2>1|1,-1.6015625,-1.6328125,0.03125,True
